Latitude,Longitude,PoliceStation,Place/Location of Occurrence
31.098747,76.613475,Kiratpur Sahib,Bharatgarh
31.1844102,76.572122,Kiratpur Sahib,Dolowal
31.061886,76.599794,Kiratpur Sahib,Sarsa Nangal
31.160744,76.590448,Kiratpur Sahib,Hardonimoh
31.1844102,76.572122,Kiratpur Sahib,Dolowal
31.061886,76.599794,Kiratpur Sahib,Sarsa Nangal
31.147479,76.570173,Kiratpur Sahib,Tirak Karma
31.1702827,76.5713996,Kiratpur Sahib,Kalyanpur
31.2068993,76.6081615,Kiratpur Sahib,Massewal
31.2057203,76.60279024,Kiratpur Sahib,Dehni
31.098747,76.613475,Kiratpur Sahib,Bharatgarh
31.098747,76.613475,Kiratpur Sahib,sarai hotal Bharatgarh
31.1048637,76.6041313,Kiratpur Sahib,bara pind
31.1870057,76.5648956,Kiratpur Sahib,Kiratpur sahib 
31.0865387,76.6059989,Kiratpur Sahib,sarai hotal Bharatgarh
31.0883283,76.6069211,Kiratpur Sahib,Dubeta morh Bhartgarh 
31.1870057,76.5648956,Kiratpur Sahib,bus stand kiratpur sahib 
31.1870057,76.5648956,Kiratpur Sahib,bus stand kiratpur sahib 
31.0618855,76.599794,Kiratpur Sahib,Sarsa Nangal
31.1048637,76.6041313,Kiratpur Sahib,bara pind
31.2057203,76.60279024,Kiratpur Sahib,dehni
31.1035743,76.6039256,Kiratpur Sahib,Bharatgarh
31.1035743,76.6039256,Kiratpur Sahib,Bharatgarh
31.1517994,76.579456,Kiratpur Sahib,Dhaddi
31.1214802,76.5773255,Kiratpur Sahib,Gardla
31.0883283,76.6069211,Kiratpur Sahib,Dubeta morh Bhartgarh 
30.9423508,76.4895865,Chamkaur Sahib,Near T Point Vill Chonta 
30.9294554,76.472594,Chamkaur Sahib,Near Canel Vill Bhakumajra
30.9018858,76.4376893,Chamkaur Sahib,sirhind canal near vill Bhakumajra 
30.8639651,76.4300016,Chamkaur Sahib,Near Vill Pipal majra 
30.9321319,76.4410757,Chamkaur Sahib,Near T Point Vill Chonta 
30.9023889,76.3613235,Chamkaur Sahib,Shirhind calal near kiriafgana 
30.8456178,76.4314558,Chamkaur Sahib,Vil Rurki heraon
30.9324228,76.3512468,Chamkaur Sahib,"Railon road,Ropar"
30.8978024,76.3963902,Chamkaur Sahib,Sirhind canal near chamkaur sahib rest house 
30.9347683,76.3292825,Chamkaur Sahib,vill tapprianamar singh 
30.8899325,76.4510666,Chamkaur Sahib,near vill gagon
30.8915604,76.4145124,Chamkaur Sahib,near Vill mane majra 
30.932717,76.472598,Chamkaur Sahib,near vill Mahla 
30.9031199,76.4760063,Chamkaur Sahib,sirhind canal vill Dholran
30.96928,76.522234,City Ropar,"Near PWD Colony,Ropar "
30.965586,76.524186,City Ropar,"Civil Hospital ,Road Ropar "
30.953586,76.529409,City Ropar,"Taprian T Point ,Ropar "
30.977909,76.520266,City Ropar,"Bachat Chowk, Ropar"
30.947276,76.518252,City Ropar,"Railon road,Ropar"
30.963473,76.532531,City Ropar,"Near Miltray canteen,Ropar"
30.964476,76.5745256,City Ropar,"Gilco velley,Ropar"
30.957915,76.515149,City Ropar,Near HMT Hotel Bela Road Ropar
30.940548,76.535527,City Ropar,"Near Police line ,Ropar"
30.953127,76.507989,City Ropar,"Near Distict Jail ,Ropar"
30.97697,76.535184,City Ropar,"Near Gurdwara sadawart,Ropar "
30.97212,76.519938,City Ropar,"Near sai doctor ,College Road ropar"
30.947276,76.518252,City Ropar,Vill railon Kalan Ropar
30.973622,76.521161,City Ropar,Near Govt. college Ropar
30.962366,76.533056,City Ropar,"Nangal Chownk Pump,ropar"
30.971887,76.531537,City Ropar,"Near New Bridge ,Ropar"
30.982347,76.522878,City Ropar,"New Bus/Truck stand,Ropar"
30.947276,76.518252,City Ropar,"Near new byepass ,Ropar"
30.964385,76.534714,City Ropar,"Morinda chownk,Byepass Ropar"
30.978542,76.526784,City Ropar,"Near Forest Dept  Office, Ropar "
30.963473,76.532531,City Ropar,"Nera Miltary canteen ,Ropar "
30.974788,76.498955,City Ropar,"Near IIT river bridge, Ropar"
30.971962,76.532885,City Ropar,Near railway station Ropar
30.982118,76.519865,City Ropar,Near T-Point DC office Ropar
30.954205,76.52941,City Ropar,Ropar Chamkaur Sahib link road Near bhai Himat singh Guruduara Ropar
30.947276,76.518252,City Ropar,Near By pass ropar
30.97696,76.535184,City Ropar,Vill Nanakpura turn Rupnagar
30.97695,76.535187,City Ropar,Near PS Sadar Ropar
